Date,Value 1,Value 2,Value 3,Value 4,Description
2009-01-01 00:00:00,427.14,443.22,491.44,523.59,523.59
2009-02-01 00:00:00,410.13,432.91,501.27,546.84,546.84
2009-03-01 00:00:00,403.72,418.91,464.49,494.88,494.88
2009-04-01 00:00:00,411.61,434.48,503.08,548.81,548.81
2009-05-01 00:00:00,430.28,446.48,495.06,527.45,527.45
2009-06-01 00:00:00,396.94,418.99,485.15,529.25,529.25
2009-07-01 00:00:00,431.88,448.14,496.9,529.4,529.40
2009-08-01 00:00:00,414.67,437.71,506.82,552.89,552.89
2009-09-01 00:00:00,408.25,423.62,469.71,500.44,500.44
2009-10-01 00:00:00,416.2,439.32,508.69,554.93,554.93
2009-11-01 00:00:00,464.67,482.16,534.62,569.6,569.60
2009-12-01 00:00:00,470.97,497.14,575.63,627.96,627.96
2010-01-01 00:00:00,436.7,453.13,502.44,535.31,535.31
2010-02-01 00:00:00,419.29,442.58,512.46,559.05,559.05
2010-03-01 00:00:00,412.71,428.25,474.84,505.91,505.91
2010-04-01 00:00:00,420.77,444.14,514.27,561.02,561.02
2010-05-01 00:00:00,439.84,456.39,506.05,539.16,539.16
2010-06-01 00:00:00,405.74,428.28,495.9,540.98,540.98
2010-07-01 00:00:00,441.44,458.05,507.89,541.12,541.12
2010-08-01 00:00:00,423.83,447.37,518.01,565.1,565.10
2010-09-01 00:00:00,417.25,432.95,480.06,511.47,511.47
2010-10-01 00:00:00,425.36,448.99,519.88,567.14,567.14
2010-11-01 00:00:00,474.88,492.75,546.36,582.11,582.11
2010-12-01 00:00:00,481.3,508.04,588.25,641.73,641.73
2011-01-01 00:00:00,446.25,463.05,513.43,547.02,547.02
2011-02-01 00:00:00,428.44,452.25,523.65,571.26,571.26
2011-03-01 00:00:00,421.71,437.59,485.2,516.94,516.94
2011-04-01 00:00:00,429.92,453.81,525.46,573.23,573.23
2011-05-01 00:00:00,449.4,466.31,517.05,550.87,550.87
2011-06-01 00:00:00,414.54,437.57,506.65,552.71,552.71
2011-07-01 00:00:00,450.99,467.97,518.88,552.83,552.83
2011-08-01 00:00:00,432.99,457.04,529.2,577.31,577.31
2011-09-01 00:00:00,426.25,442.29,490.42,522.5,522.50
2011-10-01 00:00:00,434.52,458.66,531.08,579.35,579.35
2011-11-01 00:00:00,485.08,503.34,558.11,594.62,594.62
2011-12-01 00:00:00,491.62,518.93,600.87,655.49,655.49
2012-01-01 00:00:00,455.81,472.96,524.43,558.74,558.74
2012-02-01 00:00:00,437.6,461.91,534.85,583.47,583.47
2012-03-01 00:00:00,430.74,446.95,495.58,528.0,528.00
2012-04-01 00:00:00,439.11,463.5,536.69,585.48,585.48
2012-05-01 00:00:00,458.98,476.25,528.07,562.62,562.62
2012-06-01 00:00:00,423.36,446.88,517.44,564.48,564.48
2012-07-01 00:00:00,460.58,477.91,529.91,564.58,564.58
2012-08-01 00:00:00,442.17,466.73,540.43,589.56,589.56
2012-09-01 00:00:00,435.27,451.66,500.8,533.56,533.56
2012-10-01 00:00:00,443.7,468.35,542.3,591.6,591.60
2012-11-01 00:00:00,495.32,513.96,569.88,607.16,607.16
2012-12-01 00:00:00,501.97,529.86,613.52,669.3,669.30
2013-01-01 00:00:00,465.39,482.91,535.45,570.48,570.48
2013-02-01 00:00:00,446.79,471.61,546.07,595.71,595.71
2013-03-01 00:00:00,439.74,456.29,505.93,539.03,539.03
2013-04-01 00:00:00,448.27,473.17,547.88,597.69,597.69
2013-05-01 00:00:00,468.53,486.17,539.07,574.33,574.33
2013-06-01 00:00:00,432.16,456.17,528.19,576.21,576.21
2013-07-01 00:00:00,470.13,487.82,540.9,576.29,576.29
2013-08-01 00:00:00,451.33,476.4,551.62,601.77,601.77
2013-09-01 00:00:00,444.27,460.99,511.15,544.59,544.59
2013-10-01 00:00:00,452.86,478.02,553.49,603.81,603.81
2013-11-01 00:00:00,505.52,524.55,581.62,619.67,619.67
2013-12-01 00:00:00,512.3,540.76,626.14,683.07,683.07
2014-01-01 00:00:00,474.95,492.82,546.45,582.19,582.19
2014-02-01 00:00:00,455.94,481.27,557.26,607.92,607.92
2014-03-01 00:00:00,448.74,465.62,516.29,550.06,550.06
2014-04-01 00:00:00,457.42,482.84,559.07,609.9,609.90
2014-05-01 00:00:00,478.09,496.08,550.06,586.05,586.05
2014-06-01 00:00:00,440.96,465.45,538.95,587.94,587.94
2014-07-01 00:00:00,479.69,497.74,551.9,588.0,588.00
2014-08-01 00:00:00,460.48,486.07,562.81,613.98,613.98
2014-09-01 00:00:00,453.27,470.33,521.51,555.62,555.62
2014-10-01 00:00:00,462.01,487.68,564.68,616.02,616.02
2014-11-01 00:00:00,515.73,535.14,593.36,632.18,632.18
2014-12-01 00:00:00,522.62,551.66,638.76,696.83,696.83
2015-01-01 00:00:00,484.5,502.74,557.44,593.91,593.91
2015-02-01 00:00:00,465.1,490.94,568.46,620.13,620.13
2015-03-01 00:00:00,457.74,474.96,526.64,561.09,561.09
2015-04-01 00:00:00,466.58,492.5,570.27,622.11,622.11
2015-05-01 00:00:00,487.65,506.0,561.05,597.76,597.76
2015-06-01 00:00:00,449.75,474.74,549.7,599.67,599.67
2015-07-01 00:00:00,489.24,507.66,562.89,599.72,599.72
2015-08-01 00:00:00,469.64,495.73,574.01,626.19,626.19
2015-09-01 00:00:00,462.27,479.67,531.86,566.66,566.66
2015-10-01 00:00:00,471.17,497.35,575.88,628.23,628.23
2015-11-01 00:00:00,525.93,545.72,605.1,644.69,644.69
2015-12-01 00:00:00,532.95,562.56,651.38,710.6,710.60
2016-01-01 00:00:00,494.06,512.65,568.43,605.62,605.62
2016-02-01 00:00:00,474.26,500.61,579.65,632.34,632.34
2016-03-01 00:00:00,466.76,484.33,537.02,572.16,572.16
2016-04-01 00:00:00,475.76,502.19,581.49,634.35,634.35
2016-05-01 00:00:00,497.23,515.94,572.08,609.5,609.50
2016-06-01 00:00:00,409.01,431.73,499.9,545.35,545.35
2016-07-01 00:00:00,359.25,372.77,413.33,440.37,440.37
2016-08-01 00:00:00,295.51,311.93,361.18,394.01,394.01
2016-09-01 00:00:00,259.56,269.32,298.63,318.17,318.17
2016-10-01 00:00:00,213.51,225.37,260.95,284.67,284.67
2016-11-01 00:00:00,187.53,194.59,215.76,229.87,229.87
2016-12-01 00:00:00,154.26,162.83,188.54,205.68,205.68
2017-01-01 00:00:00,130.2,135.1,149.8,159.6,159.60
2017-02-01 00:00:00,104.86,110.69,128.16,139.82,139.82
2017-03-01 00:00:00,89.3,92.66,102.75,109.47,109.47
2017-04-01 00:00:00,84.67,89.37,103.48,112.89,112.89
2017-05-01 00:00:00,90.13,93.52,103.7,110.49,110.49
2017-06-01 00:00:00,90.74,95.78,110.91,120.99,120.99
2017-07-01 00:00:00,92.81,96.3,106.78,113.77,113.77
2017-08-01 00:00:00,93.43,98.63,114.2,124.58,124.58
2017-09-01 00:00:00,99.46,103.21,114.44,121.92,121.92
2017-10-01 00:00:00,94.3,99.54,115.26,125.74,125.74
2017-11-01 00:00:00,108.26,112.34,124.56,132.71,132.71
2017-12-01 00:00:00,121.69,128.45,148.73,162.25,162.25
2018-01-01 00:00:00,124.46,129.15,143.2,152.57,152.57
2018-02-01 00:00:00,125.3,132.26,153.15,167.07,167.07
2018-03-01 00:00:00,100.44,104.22,115.56,123.12,123.12
2018-04-01 00:00:00,100.14,105.7,122.39,133.51,133.51
2018-05-01 00:00:00,101.37,105.19,116.63,124.26,124.26
2018-06-01 00:00:00,101.07,106.68,123.52,134.75,134.75
2018-07-01 00:00:00,108.64,112.73,125.0,133.18,133.18
2018-08-01 00:00:00,104.07,109.85,127.19,138.75,138.75
2018-09-01 00:00:00,111.87,116.08,128.71,137.13,137.13
2018-10-01 00:00:00,111.53,117.73,136.31,148.71,148.71
2018-11-01 00:00:00,128.04,132.86,147.31,156.95,156.95
2018-12-01 00:00:00,143.92,151.92,175.9,191.89,191.89
2019-01-01 00:00:00,154.71,160.53,178.0,189.65,189.65
2019-02-01 00:00:00,148.19,156.43,181.12,197.59,197.59
2019-03-01 00:00:00,159.3,165.3,183.29,195.28,195.28
2019-04-01 00:00:00,158.82,167.64,194.11,211.76,211.76
2019-05-01 00:00:00,160.78,166.83,184.99,197.09,197.09
2019-06-01 00:00:00,160.3,169.2,195.92,213.73,213.73
2019-07-01 00:00:00,172.31,178.8,198.25,211.22,211.22
2019-08-01 00:00:00,165.06,174.22,201.73,220.07,220.07
2019-09-01 00:00:00,177.43,184.11,204.14,217.5,217.50
2019-10-01 00:00:00,176.89,186.72,216.2,235.86,235.86
2019-11-01 00:00:00,203.08,210.72,233.65,248.93,248.93
2019-12-01 00:00:00,228.27,240.95,278.99,304.36,304.36
2020-01-01 00:00:00,188.33,195.41,216.68,230.85,230.85
2020-02-01 00:00:00,189.59,200.13,231.73,252.79,252.79
2020-03-01 00:00:00,193.92,201.21,223.11,237.7,237.70
2020-04-01 00:00:00,195.22,206.07,238.61,260.3,260.30
2020-05-01 00:00:00,207.82,215.64,239.11,254.75,254.75
2020-06-01 00:00:00,197.04,207.98,240.82,262.72,262.72
2020-07-01 00:00:00,209.75,217.65,241.33,257.12,257.12
2020-08-01 00:00:00,211.17,222.9,258.09,281.56,281.56
2020-09-01 00:00:00,215.98,224.11,248.49,264.75,264.75
2020-10-01 00:00:00,217.44,229.52,265.76,289.92,289.92
2020-11-01 00:00:00,249.62,259.02,287.2,305.99,305.99
2020-12-01 00:00:00,280.59,296.17,342.94,374.11,374.11
2021-01-01 00:00:00,225.99,234.5,260.01,277.02,277.02
2021-02-01 00:00:00,225.3,237.82,275.37,300.41,300.41
2021-03-01 00:00:00,242.2,251.31,278.66,296.89,296.89
2021-04-01 00:00:00,231.99,244.88,283.55,309.33,309.33
2021-05-01 00:00:00,249.39,258.77,286.93,305.7,305.70
2021-06-01 00:00:00,248.63,262.44,303.88,331.51,331.51
2021-07-01 00:00:00,251.7,261.18,289.59,308.54,308.54
2021-08-01 00:00:00,250.94,264.88,306.71,334.59,334.59
2021-09-01 00:00:00,269.76,279.91,310.36,330.67,330.67
2021-10-01 00:00:00,258.39,272.75,315.81,344.52,344.52
2021-11-01 00:00:00,296.64,307.81,341.3,363.62,363.62
2021-12-01 00:00:00,333.43,351.96,407.53,444.58,444.58
2022-01-01 00:00:00,292.87,303.89,336.95,359.0,359.00
2022-02-01 00:00:00,240.91,254.29,294.44,321.21,321.21
2022-03-01 00:00:00,208.63,216.49,240.04,255.74,255.74
2022-04-01 00:00:00,210.04,221.71,256.72,280.05,280.05
2022-05-01 00:00:00,214.83,222.91,247.17,263.34,263.34
2022-06-01 00:00:00,216.28,228.29,264.34,288.37,288.37
2022-07-01 00:00:00,230.23,238.9,264.89,282.22,282.22
2022-08-01 00:00:00,218.28,230.41,266.79,291.05,291.05
2022-09-01 00:00:00,232.37,241.12,267.35,284.84,284.84
2022-10-01 00:00:00,233.94,246.94,285.93,311.92,311.92
2022-11-01 00:00:00,268.57,278.68,309.0,329.22,329.22
2022-12-01 00:00:00,301.88,318.65,368.97,402.51,402.51
2023-01-01 00:00:00,321.36,333.46,369.74,393.93,393.93
2023-02-01 00:00:00,304.69,321.61,372.39,406.25,406.25
2023-03-01 00:00:00,324.35,336.56,373.18,397.59,397.59
2023-04-01 00:00:00,326.54,344.68,399.1,435.38,435.38
2023-05-01 00:00:00,333.98,346.55,384.26,409.39,409.39
2023-06-01 00:00:00,336.23,354.91,410.95,448.31,448.31
2023-07-01 00:00:00,357.93,371.4,411.81,438.75,438.75
2023-08-01 00:00:00,339.35,358.21,414.77,452.47,452.47
2023-09-01 00:00:00,416.57,432.25,479.29,510.64,510.64
2023-10-01 00:00:00,443.45,468.09,542.0,591.27,591.27
2023-11-01 00:00:00,504.06,523.03,579.93,617.87,617.87
2023-12-01 00:00:00,537.52,567.38,656.96,716.69,716.69
2024-01-01 00:00:00,542.86,563.29,624.58,665.44,665.44
2024-02-01 00:00:00,552.94,583.66,675.81,737.25,737.25
